Date,GSPC.Open,GSPC.High,GSPC.Low,GSPC.Close,GSPC.Volume,GSPC.Adjusted
1993-02-24,434.76001,440.869995,434.679993,440.869995,316750000,440.869995
1993-02-25,440.700012,442.339996,439.670013,442.339996,252860000,442.339996
1993-02-26,442.339996,443.769989,440.980011,443.380005,234160000,443.380005
1993-03-01,443.380005,444.179993,441.339996,442.01001,232460000,442.01001
1993-03-02,442,447.910004,441.070007,447.899994,269750000,447.899994
1993-03-03,447.899994,450,447.730011,449.26001,277380000,449.26001
1993-03-04,449.26001,449.519989,446.720001,447.339996,234220000,447.339996
1993-03-05,447.339996,449.589996,445.559998,446.109985,253480000,446.109985
1993-03-08,446.119995,454.709991,446.119995,454.709991,275290000,454.709991
1993-03-09,454.670013,455.519989,453.679993,454.399994,290670000,454.399994
1993-03-10,454.399994,456.339996,452.700012,456.329987,255610000,456.329987
1993-03-11,456.350006,456.76001,453.480011,453.720001,257060000,453.720001
1993-03-12,453.700012,453.700012,447.040009,449.829987,255420000,449.829987
1993-03-15,449.829987,451.429993,449.399994,451.429993,195930000,451.429993
1993-03-16,451.429993,452.359985,451.01001,451.369995,218820000,451.369995
1993-03-17,451.359985,451.359985,447.98999,448.309998,241270000,448.309998
1993-03-18,448.359985,452.390015,448.359985,451.890015,241180000,451.890015
1993-03-19,451.899994,453.320007,449.910004,450.179993,339660000,450.179993
1993-03-22,450.170013,450.170013,446.079987,448.880005,233190000,448.880005
1993-03-23,448.880005,449.799988,448.299988,448.76001,232730000,448.76001
1993-03-24,448.709991,450.899994,446.100006,448.070007,274300000,448.070007
1993-03-25,448.089996,451.75,447.929993,450.880005,251530000,450.880005
1993-03-26,450.910004,452.089996,447.690002,447.779999,226650000,447.779999
1993-03-29,447.76001,452.809998,447.75,450.769989,199970000,450.769989
1993-03-30,450.790009,452.059998,449.630005,451.970001,231190000,451.970001
1993-03-31,451.970001,454.880005,451.670013,451.670013,279190000,451.670013
1993-04-01,451.670013,452.630005,449.600006,450.299988,234530000,450.299988
1993-04-02,450.279999,450.279999,440.709991,441.390015,323330000,441.390015
1993-04-05,441.420013,442.429993,440.529999,442.290009,296080000,442.290009
1993-04-06,442.290009,443.380005,439.480011,441.160004,293680000,441.160004
1993-04-07,441.160004,442.730011,440.5,442.730011,3.00E+08,442.730011
1993-04-08,442.709991,443.769989,440.019989,441.839996,284370000,441.839996
1993-04-12,441.839996,448.369995,441.839996,448.369995,259690000,448.369995
1993-04-13,448.410004,450.399994,447.660004,449.220001,286690000,449.220001
1993-04-14,449.220001,450,448.019989,448.660004,257340000,448.660004
1993-04-15,448.600006,449.109985,446.390015,448.399994,259500000,448.399994
1993-04-16,448.410004,449.390015,447.670013,448.940002,305160000,448.940002
1993-04-19,448.940002,449.140015,445.850006,447.459991,244710000,447.459991
1993-04-20,447.459991,447.459991,441.809998,445.100006,317990000,445.100006
1993-04-21,445.089996,445.769989,443.079987,443.630005,287300000,443.630005
1993-04-22,443.549988,445.730011,439.459991,439.459991,310390000,439.459991
1993-04-23,439.48999,439.48999,436.820007,437.029999,259810000,437.029999
1993-04-26,437.029999,438.350006,432.299988,433.540009,283260000,433.540009
1993-04-27,433.519989,438.019989,433.140015,438.01001,284140000,438.01001
1993-04-28,438.01001,438.799988,436.679993,438.019989,267980000,438.019989
1993-04-29,438.019989,438.959991,435.589996,438.890015,249760000,438.890015
1993-04-30,438.890015,442.290009,438.890015,440.190002,247460000,440.190002
1993-05-03,440.190002,442.589996,438.25,442.459991,224970000,442.459991
1993-05-04,442.579987,445.190002,442.450012,444.049988,268310000,444.049988
1993-05-05,443.980011,446.089996,443.76001,444.519989,274240000,444.519989
1993-05-06,444.600006,444.809998,442.899994,443.26001,255460000,443.26001
1993-05-07,443.279999,443.700012,441.690002,442.309998,223570000,442.309998
1993-05-10,442.339996,445.420013,442.049988,442.799988,235580000,442.799988
1993-05-11,442.799988,444.570007,441.519989,444.359985,218480000,444.359985
1993-05-12,444.320007,445.160004,442.869995,444.799988,255680000,444.799988
1993-05-13,444.75,444.75,439.230011,439.230011,293920000,439.230011
1993-05-14,439.220001,439.820007,438.100006,439.559998,252910000,439.559998
1993-05-17,439.559998,440.380005,437.829987,440.369995,227580000,440.369995
1993-05-18,440.390015,441.26001,437.950012,440.320007,264300000,440.320007
1993-05-19,440.320007,447.859985,436.859985,447.570007,342420000,447.570007
1993-05-20,447.570007,450.589996,447.359985,450.589996,289160000,450.589996
1993-05-21,450.589996,450.589996,444.890015,445.839996,279120000,445.839996
1993-05-24,445.839996,448.440002,445.26001,448,197990000,448
1993-05-25,448,449.040009,447.700012,448.850006,222090000,448.850006
1993-05-26,448.850006,453.51001,448.820007,453.440002,274230000,453.440002
1993-05-27,453.440002,454.549988,451.140015,452.410004,300810000,452.410004
1993-05-28,452.410004,452.410004,447.670013,450.190002,207820000,450.190002
1993-06-01,450.230011,455.630005,450.230011,453.829987,229690000,453.829987
1993-06-02,453.829987,454.529999,452.679993,453.850006,295560000,453.850006
1993-06-03,453.839996,453.850006,451.119995,452.48999,285570000,452.48999
1993-06-04,452.429993,452.429993,448.920013,450.059998,226440000,450.059998
1993-06-07,450.070007,450.75,447.320007,447.690002,236920000,447.690002
1993-06-08,447.649994,447.649994,444.309998,444.709991,240640000,444.709991
1993-06-09,444.709991,447.390015,444.660004,445.779999,249030000,445.779999
1993-06-10,445.779999,446.220001,444.089996,445.380005,232600000,445.380005
1993-06-11,445.380005,448.190002,445.380005,447.26001,256750000,447.26001
1993-06-14,447.26001,448.640015,447.230011,447.709991,210440000,447.709991
1993-06-15,447.730011,448.279999,446.179993,446.269989,234110000,446.269989
1993-06-16,446.269989,447.429993,443.609985,447.429993,267500000,447.429993
1993-06-17,447.429993,448.980011,446.910004,448.540009,239810000,448.540009
1993-06-18,448.540009,448.589996,443.679993,443.679993,300500000,443.679993
1993-06-21,443.679993,446.220001,443.679993,446.220001,223650000,446.220001
1993-06-22,446.25,446.290009,444.940002,445.929993,259530000,445.929993
1993-06-23,445.959991,445.959991,443.190002,443.190002,278260000,443.190002
1993-06-24,443.040009,447.209991,442.5,446.619995,267450000,446.619995
1993-06-25,446.619995,448.640015,446.619995,447.600006,210430000,447.600006
1993-06-28,447.600006,451.899994,447.600006,451.850006,242090000,451.850006
1993-06-29,451.890015,451.899994,449.670013,450.690002,276310000,450.690002
1993-06-30,450.690002,451.470001,450.149994,450.529999,281120000,450.529999
1993-07-01,450.540009,451.149994,448.709991,449.019989,292040000,449.019989
1993-07-02,449.019989,449.019989,445.200012,445.839996,220750000,445.839996
1993-07-06,445.859985,446.869995,441.420013,441.429993,234810000,441.429993
1993-07-07,441.399994,443.630005,441.399994,442.829987,253170000,442.829987
1993-07-08,442.839996,448.640015,442.839996,448.640015,282910000,448.640015
1993-07-09,448.640015,448.940002,446.73999,448.109985,235210000,448.109985
1993-07-12,448.130005,449.109985,447.709991,448.980011,202310000,448.980011
1993-07-13,449,450.700012,448.070007,448.089996,236720000,448.089996
1993-07-14,448.079987,451.119995,448.079987,450.079987,297430000,450.079987
